IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
52.88.214.227,443,443,true,SEA,North America,US,Seattle,226,7.55
3.22.51.119,443,443,true,YYZ,North America,CA,Toronto,248,7.55
44.222.124.107,443,443,true,IAD,North America,US,Ashburn,328,7.55
34.219.18.231,443,443,true,PDX,North America,US,Portland,282,7.55
18.133.125.215,443,443,true,LHR,Europe,GB,London,342,7.55
44.202.3.237,443,443,true,IAD,North America,US,Ashburn,325,7.54
3.129.16.89,443,443,true,YYZ,North America,CA,Toronto,410,7.54
3.237.38.243,443,443,true,IAD,North America,US,Ashburn,257,7.54
3.79.92.152,443,443,true,FRA,Europe,DE,Frankfurt,243,7.54
54.187.179.49,443,443,true,SEA,North America,US,Seattle,237,7.54
3.141.223.191,8443,443,true,ORD,North America,US,Chicago,233,7.53
98.82.125.90,443,443,true,IAD,North America,US,Ashburn,252,7.53
3.135.212.13,443,443,true,YYZ,North America,CA,Toronto,375,7.53
3.135.182.174,443,443,true,YYZ,North America,CA,Toronto,377,7.53
34.217.104.157,443,443,true,PDX,North America,US,Portland,384,7.53
3.15.158.117,443,443,true,YYZ,North America,CA,Toronto,224,7.53
35.179.141.167,443,443,true,LHR,Europe,GB,London,372,7.52
34.218.238.185,443,443,true,PDX,North America,US,Portland,292,7.51
34.217.125.72,443,443,true,PDX,North America,US,Portland,280,7.51
54.202.115.66,80,443,true,SEA,North America,US,Seattle,278,7.50
34.209.4.175,80,443,true,PDX,North America,US,Portland,247,7.50
3.19.67.220,443,443,true,YYZ,North America,CA,Toronto,269,7.50
3.128.206.213,8443,443,true,YYZ,North America,CA,Toronto,324,7.50
3.144.191.4,443,443,true,CMH,North America,US,Columbus,243,7.50
34.217.214.188,443,443,true,PDX,North America,US,Portland,277,7.50
3.238.199.180,443,443,true,IAD,North America,US,Ashburn,289,7.50
35.167.93.200,80,443,true,PDX,North America,US,Portland,223,7.50
3.85.241.148,443,443,true,IAD,North America,US,Ashburn,260,7.50
35.90.62.167,80,443,true,PDX,North America,US,Portland,283,7.49
35.167.93.200,80,443,true,SEA,North America,US,Seattle,251,7.49
35.167.93.200,443,443,true,SEA,North America,US,Seattle,288,7.49
52.10.78.7,80,443,true,PDX,North America,US,Portland,266,7.49
54.149.11.131,80,443,true,PDX,North America,US,Portland,272,7.49
34.239.179.136,443,443,true,IAD,North America,US,Ashburn,251,7.49
3.236.77.194,443,443,true,IAD,North America,US,Ashburn,326,7.49
44.243.36.92,443,443,true,PDX,North America,US,Portland,264,7.49
18.222.218.100,443,443,true,YYZ,North America,CA,Toronto,306,7.49
3.76.206.85,443,443,true,FRA,Europe,DE,Frankfurt,366,7.48
35.88.142.2,443,443,true,PDX,North America,US,Portland,222,7.48
3.237.12.183,443,443,true,IAD,North America,US,Ashburn,312,7.48
3.131.95.103,443,443,true,YYZ,North America,CA,Toronto,304,7.48
18.222.127.110,443,443,true,YYZ,North America,CA,Toronto,243,7.48
3.145.78.39,443,443,true,YYZ,North America,CA,Toronto,294,7.48
54.187.240.196,443,443,true,SEA,North America,US,Seattle,218,7.48
34.217.63.45,443,443,true,PDX,North America,US,Portland,244,7.47
34.239.147.223,443,443,true,IAD,North America,US,Ashburn,319,7.47
44.220.46.108,443,443,true,IAD,North America,US,Ashburn,323,7.46
3.238.204.161,443,443,true,IAD,North America,US,Ashburn,263,7.46
54.68.99.46,443,443,true,SEA,North America,US,Seattle,215,7.46
44.211.36.1,443,443,true,IAD,North America,US,Ashburn,329,7.46
34.221.20.125,8443,443,true,PDX,North America,US,Portland,215,7.46
35.86.138.114,443,443,true,PDX,North America,US,Portland,223,7.46
3.16.36.54,443,443,true,YYZ,North America,CA,Toronto,250,7.46
204.110.220.20,80,443,true,SJC,North America,US,San Jose,209,7.45
67.226.221.185,80,443,true,SJC,North America,US,San Jose,445,7.45
34.219.58.250,443,443,true,PDX,North America,US,Portland,376,7.45
44.220.180.144,443,443,true,IAD,North America,US,Ashburn,269,7.44
35.88.173.2,80,443,true,PDX,North America,US,Portland,296,7.44
54.202.115.66,80,443,true,PDX,North America,US,Portland,227,7.44
3.143.225.149,443,443,true,YYZ,North America,CA,Toronto,317,7.44
34.219.57.61,443,443,true,PDX,North America,US,Portland,301,7.43
3.147.73.220,443,443,true,ORD,North America,US,Chicago,306,7.42
35.94.147.140,443,443,true,PDX,North America,US,Portland,310,7.42
34.211.243.166,80,443,true,PDX,North America,US,Portland,299,7.42
34.219.49.106,443,443,true,PDX,North America,US,Portland,333,7.42
35.179.76.59,443,443,true,LHR,Europe,GB,London,274,7.41
34.219.127.153,443,443,true,PDX,North America,US,Portland,256,7.41
52.20.152.104,443,443,true,IAD,North America,US,Ashburn,312,7.41
3.239.8.223,443,443,true,IAD,North America,US,Ashburn,276,7.40
34.232.64.54,443,443,true,IAD,North America,US,Ashburn,278,7.40
3.230.207.59,2095,443,true,IAD,North America,US,Ashburn,374,7.39
35.94.10.146,443,443,true,PDX,North America,US,Portland,217,7.39
54.190.156.147,8443,443,true,SEA,North America,US,Seattle,415,7.39
204.110.223.79,80,443,true,CMH,North America,US,Columbus,253,7.38
34.218.248.107,80,443,true,PDX,North America,US,Portland,236,7.38
